Domain,Team_Size,Project_Number,Project_Title,Difficulty,Research_Question,Approach_Methodology,Required_Skills,Dataset_Suggestions,Timeline_Summary,Deliverables,Target_Conferences,Expected_Acceptance_Rate,Key_Papers,Potential_Challenges,Why_Publishable
Biology,4-person,5,Graph-Based Representations of Biological Pathways for Disease Classification,Advanced,Do graph-based representations of gene expression using known pathways improve disease classification over flat gene vectors?,"Map gene expression onto pathway graphs (KEGG/Reactome); apply simple GNNs vs standard classifiers on raw vectors","Python, PyTorch Geometric, pathway databases","TCGA expression + labels, GEO disease datasets","1-2: Survey & planning; 3-4: Graph construction; 5-7: GNN modeling; 8-9: Comparisons; 10: Analysis; 11-12: Write & submit","Graph construction scripts, GNN models, 8-10 page paper","MLCB/CompBio workshops; BIOKDD",30-45%,"GNNs for biological networks papers","Pathway coverage and missing genes; Computational overhead of graphs",Brings graph ML to clear biomedical use case with interpretable pathway-level results
Biology,6-person,1,Large-Scale Benchmark of ML Models for Gene-Disease Association Prediction,Advanced,"Across multiple public datasets, which ML methods best predict gene-disease associations using heterogeneous features?","Integrate several gene-disease datasets; build feature sets (expression, networks, annotations); compare classical ML and simple GNNs","Python, network analysis, ML, data integration","DisGeNET, OMIM, GWAS Catalog","1-2: Scoping & roles; 3-5: Data integration & baselines; 6-8: Advanced models (GNNs, ensembles); 9-10: Robustness & ablations; 11-12: Write & submit","Unified benchmark, code repo, 10-12 page paper","BIOKDD; MLCB/CompBio workshops",35-45%,"Gene-disease network prediction literature","Heterogeneous evidence strength; Biased benchmarks",Creates integrated transparent benchmark resource for important translational task
Biology,6-person,2,Comprehensive Evaluation of Deep Learning Architectures for Medical Image Segmentation,Advanced,How do different U-Net variants and attention mechanisms compare on standard medical segmentation benchmarks under fixed compute budgets?,"Implement multiple U-Net-style architectures; benchmark across 2-3 datasets; measure accuracy vs parameters/compute","Python, PyTorch, med-image preprocessing","ISIC lesion masks, BraTS brain tumor segmentation, lung CT segmentation datasets","1-2: Scoping & roles; 3-5: Implementation & baselines; 6-8: Advanced architectures; 9-10: Compute-accuracy analysis; 11-12: Write & submit","Segmentation benchmark, code, 10-12 page paper","Med imaging workshops (MICCAI-style); BHI; DLB2H",30-45%,"U-Net and its variants papers","GPU time for multiple models; Standardizing preprocessing",Segmentation remains core in medical AI; rigorous resource-aware benchmark is useful
Biology,6-person,3,Multi-Cohort Analysis of ML Models for COVID-19 Outcome Prediction,Advanced,"How robust are ML models trained on one COVID-19 cohort when tested on others, and which feature sets generalize best?","Use multiple open COVID-19 clinical cohorts; train models on one, test on others; analyze transferability","Python, clinical ML, basic statistics","Public COVID-19 outcome datasets from government/academic repositories","1-2: Scoping & cohort selection; 3-5: Data harmonization & baselines; 6-8: Cross-cohort modeling; 9-10: Generalization analysis; 11-12: Write & submit","Cross-cohort evaluation, generalization analysis, 10-12 page paper","Biomedical AI workshops; BHI; BIOKDD",35-45%,"COVID-19 ML predictive models and critiques","Harmonizing features across cohorts; Confounders and biases",Directly addresses external validity—hot topic in clinical ML
Biology,6-person,4,Large-Scale Text Mining of Biomedical Literature for Drug Repurposing Signals,Advanced,Can co-occurrence and embedding-based similarity signals from biomedical abstracts highlight promising drug-disease repurposing candidates?,"Build corpus of abstracts; extract entities; compute co-occurrence and embedding similarities; rank candidates; validate against existing repurposing databases","Python, NLP, entity recognition tools, basic database skills","PubMed abstracts (subset), DrugBank, disease ontologies","1-2: Scoping & pipeline design; 3-5: Corpus building & entity extraction; 6-8: Similarity computation & ranking; 9-10: Validation; 11-12: Write & submit","Pipeline, candidate lists, evaluation, 10-12 page paper","BIOKDD; DLB2H; AI4Science workshops",35-45%,"Text-mining for drug repurposing literature","NER accuracy and ambiguity; Evaluating novel suggestions",Clear text-mining pipeline with transparent evaluation publishable in bioinformatics/ML venues
Biology,6-person,5,Benchmarking Graph Neural Networks on Biological Networks (PPI/Pathways/Co-Expression),Advanced,How do GNNs perform across different biological network types for node and link prediction tasks?,"Prepare multiple biological graphs (PPI, co-expression, pathways); run GCN/GAT/GraphSAGE; compare to heuristics and classical ML","Python, PyTorch Geometric, graph theory","STRING PPI network, co-expression networks from expression data, KEGG/Reactome graphs","1-2: Scoping & graph selection; 3-5: Graph preparation & baselines; 6-8: GNN modeling; 9-10: Cross-graph comparisons; 11-12: Write & submit","GNN benchmarks, scripts, 10-12 page paper","MLCB/CompBio workshops; BIOKDD",30-45%,"GNNs for biological networks surveys","Graph scale and sparsity; Defining fair train/validation/test splits",Provides multi-graph GNN benchmarks in biology—clear gap currently
Chemistry,Solo,1,Molecular Property Prediction with Graph Neural Networks vs Fingerprints,Intermediate-Advanced,Do GNNs consistently outperform traditional fingerprint + ML models for basic molecular property prediction on public datasets?,"Compare GNNs (GCN, GIN) against Random Forest/XGBoost on ECFP fingerprints across several datasets","Python, RDKit, PyTorch Geometric, scikit-learn","MoleculeNet benchmarks (ESOL, FreeSolv, BBBP)","1-2: Read MoleculeNet & GNN basics, setup RDKit; 3-4: Implement fingerprint baselines; 5-7: Implement/train GNNs; 8-9: Compare performance & learning curves; 10: Error analysis; 11-12: Writing & figures","Benchmark scripts, models, 4-6 page paper","AI4Mat/AI4Science workshops at NeurIPS/ICLR; Computational chemistry/ML workshops",35-50%,"MoleculeNet paper; GNNs for molecules (Gilmer et al.)","Hyperparameter tuning fairness; Handling multiple tasks consistently",Offers clean reproducible comparisons relevant to AI4Chemistry communities
Chemistry,Solo,2,Predicting Aqueous Solubility of Small Molecules,Intermediate,"What simple descriptors and ML models best predict aqueous solubility, and how does model performance vary with training set size?","Use solubility datasets; compute RDKit descriptors and fingerprints; train regression models; analyze learning curves","Python, RDKit, scikit-learn","ESOL, AqSolDB, other solubility compilations","1-2: Literature review & setup RDKit; 3-4: Data cleaning & descriptor generation; 5-7: Baseline models & tuning; 8-9: Training size & feature ablations; 10: Error analysis by chemical class; 11-12: Writing","Regressors, descriptor analysis, 4-6 page paper","AI4Mat; Cheminformatics workshops/journals",35-50%,"Classic solubility prediction ML papers","Noisy measurements; Domain shift across datasets",Narrow practically relevant task with solid empirical investigation
Chemistry,Solo,3,Reaction Outcome Prediction with Template-Free Models,Advanced,How well do simple neural models predict reaction products from SMILES representations compared to rule-based baselines on small reaction benchmarks?,"Use small subsets of reaction datasets; build sequence-to-sequence or graph-based models; compare to published baselines where feasible","Python, RDKit, PyTorch, sequence models","USPTO-50k, other open reaction sets","1-2: Read USPTO reaction prediction literature; 3-4: Preprocess reaction SMILES; 5-7: Implement baseline seq2seq; 8-9: Improve with augmentation/better tokenization; 10: Evaluate top-k accuracy & errors; 11-12: Writing","Reaction predictor, evaluation metrics, 6-8 page paper","AI4Mat/AI for Chemistry workshops",30-45%,"Neural Sequence-to-Sequence Models for Reaction Prediction and related work","Data preprocessing correctness; Limited compute for complex models",Adapts well-known benchmarks with clear documented baselines for education-focused AI4Chem venues
Chemistry,Solo,4,Predicting Polymer Glass Transition Temperature from Structure,Intermediate-Advanced,Which descriptors and ML methods best predict polymer glass transition temperatures (Tg) from repeating unit structure?,"Use curated polymer property datasets; derive descriptors from monomers/repeating units; train regressors; analyze errors by polymer class","Python, RDKit, regression ML","Open polymer property datasets (PoLyInfo extracts, AI4Mat benchmark sets)","1-2: Review; 3-4: Data; 5-7: Models; 8-9: Ablations; 10: Analysis; 11-12: Writing","Models, dataset splits, 4-6 page paper","AI4Mat workshops; Materials informatics venues",35-50%,"Polymer informatics ML surveys","Limited data and measurement noise; Representing polymers (repeat units, side chains)",Polymer informatics is active; focused property prediction study is timely
Chemistry,Solo,5,QSAR Modeling for Environmental Toxicity,Intermediate,Can modern ML models improve on classical QSAR baselines for predicting aquatic toxicity endpoints?,"Use public QSAR toxicity datasets; compute descriptors; compare classical QSAR (linear, PLS) with tree ensembles and shallow nets","Python, RDKit, regression/classification ML","ECOTOX-derived QSAR sets, MoleculeNet toxicity datasets (Tox21)","Same 12-week pattern","QSAR benchmark, interpretability analysis, 4-6 page paper","Computational toxicology/chemoinformatics venues; AI4Science workshops",35-50%,"Tox21 ML papers","Imbalanced labels; Applicability domain issues",Aligns with regulatory and environmental interest; offers modern baselines on public data
Chemistry,Pair,1,Comparing Molecular Graph Representations for Bandgap Prediction in Materials,Advanced,How do different graph representations impact bandgap prediction performance on materials datasets?,"Use crystal/molecule datasets with bandgap labels; build GNN models with varying graph encodings (atom/bond features, line graphs, message types); compare","Python, PyTorch Geometric, materials basics","Materials Project bandgap data (subset), OQMD/AFLOW-derived sets","Standard pair project timeline","GNN variants, ablation study, 6-8 page paper","AI4Mat workshops at NeurIPS/ICLR",35-45%,"Crystal graph convolutional networks papers","Data access limits; Graph construction from crystal structures",Fits squarely in AI4Materials; representation ablations are valued
Chemistry,Pair,2,Active Learning for Experimental Design in Materials Property Prediction (Simulated),Advanced,"In a simulated setting, which active learning strategies most efficiently identify materials with extreme properties?","Treat large dataset as oracle; simulate active learning loops with various acquisition functions; compare performance","Python, scikit-learn, basic active learning concepts","Materials Project/OQMD properties (subset)","Standard pair project timeline","Active learning simulation code, comparison plots, 6-8 page paper","AI4Mat; AI4Science workshops",35-45%,"Active learning in materials science papers","Designing realistic simulation protocols; Avoiding overfitting to one dataset",Bridges active learning and materials; highly topical
Chemistry,Pair,3,Predicting NMR Chemical Shifts with ML Models,Intermediate-Advanced,"Can ML models approximate NMR chemical shifts using structural descriptors, reducing reliance on quantum calculations?","Use small-molecule NMR datasets; compute descriptors; train regression models; compare to DFT-based references if available","Python, RDKit, regression ML","Open NMR shift datasets from spectral libraries","Standard pair project timeline","Predictive models, error breakdown, 6-8 page paper","AI4Chemistry/AI4Science workshops",35-50%,"ML for NMR shift prediction papers","Data scarcity and noise; Encoding stereochemistry properly",Practical application with clear value and accessible datasets
Chemistry,Pair,4,Retrosynthesis Route Ranking with ML Using Open Data,Advanced,"Given multiple proposed retrosynthetic routes, can ML rank them by likelihood of success or simplicity based on public reaction data?","Use open retrosynthesis/planning outputs plus historical reaction success data; train ranking models (learning-to-rank)","Python, RDKit, ranking ML","USPTO reaction data; open-source retrosynthesis route sets","Standard pair project timeline","Route ranking models, evaluation metrics, 6-8 page paper","AI4Chemistry/AI4Mat workshops",30-45%,"Retrosynthesis planning ML papers","Defining ground-truth route quality; Route representation",Adds novel angle (ranking) to widely-studied retrosynthesis tasks
Chemistry,Pair,5,ML Surrogate Models for Small-Scale Quantum Chemistry Calculations,Advanced,How accurately can small neural network surrogates approximate DFT-level energies on a small benchmark of organic molecules?,"Use precomputed DFT datasets; train surrogates; measure error vs DFT; analyze dependence on molecular size","Python, PyTorch, basic quantum chemistry concepts","QM9, ANI-1, similar","Standard pair project timeline","Surrogate models, performance analyses, 6-8 page paper","AI4Mat/AI4Science workshops",35-45%,"Deep learning potentials (ANI, SchNet) papers","Balancing model complexity vs compute budget; Generalization to unseen chemistries",Emulates key AI4Science topic with small well-scoped experiments
Chemistry,4-person,1,Comprehensive Benchmark of ML Models on MoleculeNet Classification Tasks,Advanced,"Across multiple MoleculeNet classification tasks, how do classical ML, GNNs, and pre-trained molecular transformers compare under consistent training protocols?","Implement standardized pipelines; train multiple model types across several tasks; compare metrics","Python, RDKit, PyTorch Geometric/Transformers","MoleculeNet (BBBP, BACE, Tox21, etc.)","1-2: Survey & dataset selection; 3-4: Implement pipelines; 5-7: Multi-model training; 8-9: Extensive comparisons; 10: Robustness; 11-12: Writing","Large benchmark, code, 8-10 page paper","AI4Mat workshops",35-45%,"MoleculeNet paper","Compute for multiple models/tasks; Fair hyperparameter tuning",Delivers broad well-documented benchmark useful to community
Chemistry,4-person,2,ML for Predicting Photovoltaic Material Efficiency from Composition and Structure,Advanced,Which features and models best predict photovoltaic efficiencies for candidate materials?,"Use open datasets of photovoltaic materials; engineer features (composition-only vs structure-aware); train regressors; compare","Python, materials informatics, regression ML","Photovoltaic efficiency datasets from materials databases/AI4Mat references","Standard 4-person timeline","Models, feature importance, 8-10 page paper","AI4Mat workshops",35-50%,"ML for solar materials papers","Limited dataset size; Handling high-dimensional compositions",Addresses key AI4Materials use case; aligns with workshop scopes
Chemistry,4-person,3,Uncertainty Estimation in Molecular Property Prediction,Advanced,Which uncertainty estimation methods provide the best-calibrated predictions for molecular property tasks?,"Train neural models with multiple uncertainty methods (MC dropout, ensembles, evidential); evaluate calibration and selective prediction trade-offs","Python, PyTorch, uncertainty metrics","MoleculeNet regression tasks (ESOL, FreeSolv) plus classification tasks","Standard 4-person timeline","Uncertainty benchmark, calibration plots, 8-10 page paper","AI4Mat/AI4Science workshops",35-45%,"Deep ensembles and uncertainty estimation papers","Computational overhead of ensembles; Designing good selective prediction metrics",Uncertainty is central to deploying ML in chemistry; focused benchmark is valuable
Chemistry,4-person,4,ML-Guided Screening of CO2 Capture Materials (Simulation Data),Advanced,Can ML models trained on simulation-derived properties identify promising CO2 capture candidates more efficiently than naive screening?,"Use MOF/adsorbent simulation datasets; train regressors/classifiers; evaluate ability to find top-performing materials","Python, materials data, ranking metrics","Open MOF CO2 adsorption datasets from AI4Mat/Materials Project-like sources","Standard 4-person timeline","Screening pipeline, ranking evaluation, 8-10 page paper","AI4Mat; AI for climate/sustainability workshops",35-50%,"ML for porous materials screening papers","Data access/licensing; Handling multiple operating conditions",Intersects AI chemistry and climate; strong fit for AI4Mat and sustainability venues
Chemistry,4-person,5,Interpretable ML for Understanding Substituent Effects on Reaction Rates,Advanced,Can interpretable ML models recover known substituent effects in predicting reaction kinetics for a reaction family?,"Use curated kinetic datasets for a reaction class; encode substituents; train interpretable models; compare learned effects to chemical intuition","Python, RDKit, interpretable ML (Lasso, tree-based, SHAP)","Literature-extracted kinetic datasets for substituted benzenes","Standard 4-person timeline","Models, interpretability analysis, 8-10 page paper","AI4Chemistry workshops",35-50%,"Classic Hammett/substituent-effect literature; ML interpretability papers","Data curation effort; Limited sample sizes",Connects ML insights back to core chemical concepts; attractive to interdisciplinary reviewers
Chemistry,6-person,1,Large-Scale Benchmark of Generative Models for Molecule Design,Advanced,How do different molecular generative models compare on novelty/validity/diversity and property optimization?,"Implement/evaluate multiple generative models (VAEs, GANs, autoregressive, diffusion) on standard datasets; measure standard generative metrics and property-focused objectives","Python, generative modeling, RDKit","ZINC, QM9, other open molecule sets","1-2: Scoping & model selection; 3-5: Implement/collect model code; 6-8: Extensive generation & evaluation; 9-10: Property optimization experiments; 11-12: Writing","Generative benchmark, evaluation toolkit, 10-12 page paper","AI4Chemistry/AI4Mat workshops",30-45%,"Generative models for molecules survey","Managing compute and evaluation costs; Standardizing metrics",Contributes broad reusable benchmark in very active area
Chemistry,6-person,2,End-to-End ML Workflow for High-Throughput Virtual Screening (Simulation-Based),Advanced,"For simulated high-throughput screening, which ML strategies best approximate expensive scoring functions while minimizing false negatives?","Use existing docking/simulation results as labels; train surrogate models; evaluate screening efficiency","Python, ML, some docking/chemistry familiarity","Public docking campaigns (D4 docking sets), open VHTS datasets","Standard 6-person timeline","Pipeline, benchmark, 10-12 page paper","AI4Chemistry/AI4Mat workshops",35-45%,"ML in virtual screening papers","Handling noisy docking labels; Balancing recall vs precision",High practical relevance for AI-accelerated discovery
Chemistry,6-person,3,Comprehensive Study of Transfer Learning in Chemical Property Prediction,Advanced,How effective is transfer learning across different chemical property datasets?,"Pre-train models on large multi-property dataset; fine-tune on smaller tasks; compare to training from scratch","Python, deep learning, RDKit","Combined MoleculeNet-like training corpus plus several target tasks","Standard 6-person timeline","Transfer-learning study, code, 10-12 page paper","AI4Mat; AI4Science workshops",35-45%,"Pretrained molecular models papers","Large pretraining compute (must keep modest); Negative transfer",Addresses core question of re-use of learned chemistry representations
Chemistry,6-person,4,ML-Driven Exploration of Chemical Space for Drug-Likeness and Synthetic Accessibility,Advanced,How can generative and scoring models be combined to explore drug-like chemical space while preserving synthetic accessibility?,"Generate candidate molecules; score for drug-likeness and SA; iteratively improve generation with reinforcement/optimization","Python, generative models, RDKit, basic RL/optimization","Drug-like subsets of ZINC/ChEMBL","Standard 6-person timeline","Exploration framework, analyses, 10-12 page paper","AI4Chemistry/AI4Mat workshops",30-45%,"Reinforcement learning for molecule generation papers","Balancing multiple objectives; Mode collapse in generative models",Aligns closely with cutting-edge drug design directions
Chemistry,6-person,5,Multi-Objective Optimization of Catalysts Using ML (Simulation-Based),Advanced,Can ML-based surrogate models help identify catalysts that balance activity/selectivity/stability using public simulation data?,"Use simulation-based catalyst property datasets; build surrogates; apply multi-objective optimization (Pareto front analysis)","Python, ML, basic catalysis concepts, multi-objective optimization","Open catalyst project datasets or similar","Standard 6-person timeline","Surrogates, Pareto analyses, 10-12 page paper","AI4Mat/AI4Science workshops",35-45%,"ML in catalysis papers","Correlated objectives; Sparse high-quality data",Strong fit for AI-for-science communities
Engineering,Solo,1,Predicting Building Energy Consumption from Weather and Usage Data,Intermediate,Which ML models best forecast short-term building energy consumption given weather and occupancy proxies?,"Use open building energy datasets; train time-series models (GBMs, LSTM); compare horizons","Python, time-series ML, pandas","UCI building energy datasets, ASHRAE Kaggle data","Same 12-week structure as earlier","Forecasting models, evaluation plots, 4-6 page paper","IEEE CAI healthcare/energy tracks; Smart grid/energy analytics workshops",35-50%,"ML-based building energy prediction studies","Handling missing data and holidays; Generalizing across buildings",Sustainability-focused with clear engineering impact
Engineering,Solo,2,Surrogate Modeling for Airfoil Lift and Drag Using CFD Datasets,Intermediate-Advanced,How accurately can simple neural networks approximate CFD-derived lift and drag coefficients of 2D airfoils?,"Use public CFD simulation results; encode airfoil shapes and flow conditions; train regressors","Python, basic aerodynamics, regression ML","Airfoil CFD datasets (UIUC airfoil database with simulated labels)","Standard solo timeline","Surrogate models, error analysis, 4-6 page paper","Engineering AI tracks (IEEE CAI); AI for Science workshops",35-45%,"Surrogate modeling in CFD papers","Representing shapes efficiently; Extrapolation to unseen airfoils",Classic engineering ML use case with simulation-only data
Engineering,Solo,3,Fault Detection in Rotating Machinery Using Vibration Signals,Intermediate,Which signal preprocessing and ML models best detect bearing faults from vibration data?,"Transform raw signals (FFT, spectrograms); compare traditional ML vs CNNs on image-like representations","Python, signal processing (SciPy), ML","Case Western Reserve University bearing dataset; other open vibration datasets","Standard solo timeline","Fault detection models, confusion matrices, 4-6 page paper","Condition monitoring/industrial AI tracks (IEEE)",35-50%,"ML for bearing fault detection papers","Label quality and noise; Overfitting to specific machines",Directly relevant to industrial AI and predictive maintenance
Engineering,Solo,4,Predicting Bridge Structural Health from Vibration and Load Data (Simulation/Public Data),Intermediate-Advanced,Can ML models predict damage states of bridges from simulated or recorded vibration responses?,"Use public SHM datasets or simulated models; extract features; train classifiers on damage scenarios","Python, basic structural engineering concepts, ML","SHM datasets from research groups (lab-scale bridge experiments)","Standard solo timeline","SHM classifiers, visualization, 4-6 page paper","Civil engineering AI workshops; IEEE technology & society events with infrastructure themes",35-45%,"ML for structural health monitoring papers","Limited real-world data; Sim-to-real gap",Themes of infrastructure safety and AI attractive to engineering audiences
Engineering,Solo,5,Predictive Maintenance for Solar Panels from Power Output Time Series,Intermediate,Can anomalies in solar panel power output time series indicate faults or soiling events?,"Analyze time-series from solar farms/open datasets; apply anomaly detection; correlate anomalies to known events if available","Python, time-series analysis, anomaly detection","Open PV energy datasets from NREL or research repositories","Standard solo timeline","Anomaly detection models, case studies, 4-6 page paper","Renewable energy and smart grid conferences; IEEE CAI tracks",35-50%,"PV fault detection studies","Lack of ground-truth fault labels; Weather confounding",Tangible sustainability and reliability impact; good fit for engineering AI tracks
Engineering,Pair,1,Traffic Flow Prediction with Graph Neural Networks,Advanced,Do GNN-based models improve short-term traffic flow prediction versus LSTMs and ARIMA on sensor networks?,"Represent road network as graph; use sensor time-series; compare GNN vs non-graph baselines","Python, PyTorch Geometric, time-series ML","METR-LA, PEMS-BAY","Standard pair timeline","Traffic forecasting models, evaluations, 6-8 page paper","Intelligent transportation/IEEE engineering AI venues",35-45%,"DCRNN, ST-GCN traffic prediction papers","Managing large time-series graphs; Hyperparameter tuning",Well-aligned with current graph ML for transportation research
Engineering,Pair,2,ML-Based Remaining Useful Life Estimation for Turbines (Simulation/Public Data),Intermediate-Advanced,Which ML approaches give the most reliable remaining useful life (RUL) predictions on benchmark turbofan/turbine datasets?,"Use NASA turbofan RUL dataset; compare sequence models and regressors; evaluate prognostic metrics","Python, time-series ML, RUL metrics","NASA C-MAPSS turbofan dataset","Standard pair timeline","RUL models, performance analysis, 6-8 page paper","Prognostics/health management and industrial AI tracks",35-50%,"RUL prediction ML surveys","Handling multiple operating conditions; Avoiding label leakage",Uses canonical engineering benchmarks with modern models
Engineering,Pair,3,Surrogate Modeling for Structural Optimization of Beams,Intermediate,Can ML surrogates approximate finite-element analysis results for simple beam designs to speed up optimization?,"Use available FEA simulation results or generate with open tools on simple geometries; train regression surrogates","Python, basic structural engineering, regression ML","Open beam FEA result datasets or small self-generated set","Standard pair timeline","Surrogate models, optimization demonstration, 6-8 page paper","Engineering design/AI workshops; IEEE CAI",35-50%,"ML surrogates in structural optimization papers","Validation of small simulation set quality; Extrapolation",Focused demonstration of ML-FEA synergy
Engineering,Pair,4,HVAC Control Optimization Using Reinforcement Learning in Simulation,Advanced,Can RL policies for HVAC control in building simulators outperform rule-based controllers on comfort and energy metrics?,"Use open building energy simulator (EnergyPlus via existing RL environments); train RL agents; compare to baselines","Python, RL libraries (Stable Baselines3), basic building systems","RL-enabled building simulation environments published online","Standard pair timeline","RL controllers, performance comparisons, 6-8 page paper","Smart buildings/energy engineering AI venues",35-45%,"RL for building HVAC control papers","Environment setup complexity; Reward shaping",RL + energy efficiency is popular socially relevant intersection
Engineering,Pair,5,Data-Driven Prediction of Urban Air Quality from Traffic and Weather,Intermediate,How accurate are ML models at predicting PM2.5 and NO2 levels based on traffic and meteorological inputs in cities?,"Use open air-quality and traffic datasets; train regression models; evaluate spatial/temporal generalization","Python, regression ML, basic GIS","Government air-quality datasets, open traffic counts, weather data","Standard pair timeline","Prediction models, maps, 6-8 page paper","Environmental engineering/tech & society venues; Data science conferences",35-50%,"ML air-quality prediction studies","Spatial heterogeneity; Data alignment across sources",Clear social impact and widely available data
Engineering,4-person,1,Multi-Objective Optimization of Microgrid Operation Using ML-Based Surrogates,Advanced,How effective are ML-based surrogates for multi-objective optimization of microgrid operation?,"Use open microgrid simulation data; train surrogates; apply multi-objective optimization (cost, emissions, reliability); compare with baseline heuristics","Python, energy systems basics, optimization","Open microgrid operation datasets/simulators","Standard 4-person timeline","Surrogate optimization framework, 8-10 page paper","Smart grid/IEEE energy AI tracks; Sustainability-focused conferences",35-45%,"ML in microgrid optimization papers","Complexity of constraints; Validation of simulated results",High-impact intersection of AI and clean energy
Engineering,4-person,2,Benchmarking ML Models for Wind Turbine Power Curve Modeling and Anomaly Detection,Intermediate-Advanced,Which ML methods yield the best power curve models and enable anomaly detection for wind turbines?,"Use open wind farm SCADA data; model power curves; detect deviations","Python, regression/anomaly detection","Wind turbine datasets from open SCADA repositories","Standard 4-person timeline","Models, anomaly case studies, 8-10 page paper","Renewable energy & industrial AI venues",35-50%,"ML in wind turbine monitoring papers","Data cleaning; Handling extreme conditions",Directly supports reliability of renewable energy infrastructure
Engineering,4-person,3,Graph-Based Analysis of Power Grid Vulnerability,Advanced,How can graph metrics and simple ML models identify vulnerable nodes/lines in power grid networks using topological and load data?,"Construct power grid graphs; compute centrality/graph features; train models to predict vulnerability indicators from simulations","Python, networkx, basic power systems concepts","IEEE test systems (IEEE 118-bus) with simulation results","Standard 4-person timeline","Graph analysis, vulnerability prediction, 8-10 page paper","Power systems & AI workshops; IEEE CAI/ISTAS",35-45%,"Complex network analysis of power grids papers","Generating/obtaining labeled vulnerability data; Modeling cascading failures",Important for resilient infrastructure; good intersection of graphs and engineering
Engineering,4-person,4,ML for Predicting Manufacturing Quality from Process Parameters,Intermediate,How accurately can ML predict quality outcomes from process parameters in open manufacturing datasets?,"Use public manufacturing process datasets; train classification/regression models; perform feature importance analysis","Python, scikit-learn, basic industrial engineering","SECOM semiconductor dataset (UCI), other public manufacturing data","Standard 4-person timeline","Predictive models, feature analysis, 8-10 page paper","Industrial AI/manufacturing analytics venues",35-50%,"ML in quality control papers","Class imbalance; Non-stationary processes",Straightforward but practically valuable; strong candidate for applied engineering tracks
Engineering,4-person,5,Deep Learning for Fault Localization in Power Distribution Networks (Simulation),Advanced,Can deep models localize faults in distribution networks using simulated voltage/current measurements more accurately than rule-based methods?,"Generate simulation data for various fault scenarios; train models to predict fault location; compare","Python, power systems simulation basics, deep learning","Simulated datasets based on IEEE distribution feeders","Standard 4-person timeline","Fault localization models, evaluation, 8-10 page paper","Power & energy AI tracks",35-45%,"DL for fault detection in power systems papers","Realism of simulations; Handling noise",Addresses reliability and safety in critical infrastructure
Engineering,6-person,1,City-Scale Traffic Simulation and RL-Based Signal Optimization,Advanced,"At city scale, how effective are RL-based control strategies compared to fixed and actuated signal timing in reducing congestion?","Use open city traffic networks (from SUMO demos); implement RL agents; benchmark KPIs","Python, SUMO, RL, traffic engineering basics","Open city networks in SUMO format","1-2: Scoping & network selection; 3-5: Simulator setup & baseline controllers; 6-8: RL agent implementation & training; 9-10: Extensive experiments & ablations; 11-12: Writing","City-scale RL control framework, results, 10-12 page paper","Intelligent transportation systems conferences; Engineering AI venues",35-45%,"RL for multi-intersection control papers","Computational cost; Designing realistic demand scenarios",Ambitious but impactful RL engineering study with simulation-only requirements
Engineering,6-person,2,Large-Scale Benchmark of ML for Structural Health Monitoring Across Multiple Structures,Advanced,How transferable are ML-based damage detection methods across different structures and datasets?,"Collect multiple SHM datasets; apply unified feature extraction and ML pipeline; evaluate cross-structure generalization","Python, structural engineering basics, ML","Multiple lab/field SHM datasets released by universities","Standard 6-person timeline","SHM benchmark, cross-dataset analysis, 10-12 page paper","Structural engineering & SHM conferences; IEEE technology & society for resilient infrastructure",35-45%,"ML-based SHM surveys","Heterogeneity across datasets; Label inconsistencies",Cross-structure benchmarks are in demand for SHM
Engineering,6-person,3,Integrated Urban Energy-Mobility Modeling with ML Surrogates,Advanced,How can ML surrogates couple urban building energy and transportation models to explore city-scale decarbonization scenarios?,"Use open urban energy and traffic data; build surrogates for each; run what-if scenario analyses","Python, urban systems modeling, regression ML","Open city datasets for energy and mobility (NYC, European cities)","Standard 6-person timeline","Integrated modeling framework, scenario results, 10-12 page paper","IEEE CAI/ISTAS; Smart cities conferences",35-45%,"Urban energy and mobility modeling papers","Data harmonization; Scenario design",Holistic city modeling is emerging and valued
Engineering,6-person,4,Large-Scale Comparative Study of ML-Based Controllers for Robotics in Simulation,Advanced,"Across several standard robotic control tasks, how do different RL algorithms perform under limited compute budgets?","Use standard control benchmarks; run PPO/SAC/DDPG with fixed training budgets; compare performance and stability","Python, RL libraries, robotics simulation","OpenAI Gym continuous control tasks, PyBullet equivalents","Standard 6-person timeline","RL benchmark, analysis, 10-12 page paper","RL/robotics workshops at NeurIPS/ICML; IEEE engineering AI conferences",30-45%,"PPO, SAC, DDPG papers","Compute limitations; Reproducibility across seeds",Clean RL benchmarking with focus on realistic student-level compute constraints
Engineering,6-person,5,ML for Predicting Urban Flood Risk from Topography and Historical Data,Advanced,How accurately can ML predict flood-prone zones in cities using topographic/land-use/rainfall data?,"Use open flood event labels; engineer spatial features; train models; validate with case studies","Python, GIS, ML","Government flood maps, DEMs, rainfall records","Standard 6-person timeline","Flood risk models, maps, 10-12 page paper","Environmental/urban resilience venues; IEEE ISTAS",35-50%,"ML and GIS in flood risk mapping papers","Label quality; Spatial correlation",High social impact; strong match with tech-and-society/engineering AI tracks
